Student,Skill1,Skill2,Skill3,Skill4
S1,3,1,2,4
S2,1,3,2,4
S3,4,2,1,3
S4,3,1,4,2
S5,4,1,2,3
S6,1,4,2,2
S7,4,1,4,3
S8,2,2,3,3
S9,4,2,2,3
S10,4,3,1,1
S11,3,3,2,4
S12,1,4,3,2
S13,2,4,2,2
S14,2,1,4,2
S15,2,4,1,2
S16,3,1,3,1
S17,2,4,3,4
S18,2,4,1,4
S19,4,2,1,1
S20,1,3,3,1
S21,4,2,2,1
S22,1,3,2,1
S23,3,1,4,3
S24,2,4,2,4
S25,2,2,2,3
S26,2,3,3,3
S27,1,2,4,3
S28,2,2,2,1
S29,2,2,4,2
S30,1,3,2,4
S31,4,4,3,3
S32,2,3,2,1
S33,1,4,1,3
S34,4,4,1,2
S35,1,3,1,3
S36,1,4,2,4
S37,3,3,3,4
S38,1,3,4,1
S39,1,2,1,3
S40,3,3,4,1
S41,3,2,3,2
S42,1,1,3,3
S43,4,1,1,3
S44,2,1,1,4
S45,1,3,3,4
S46,1,1,3,2
S47,3,4,1,3
S48,1,4,3,2
S49,4,4,2,2
S50,1,1,3,3
S51,2,1,2,2
S52,1,1,1,4
S53,2,3,3,4
S54,2,2,2,3
S55,4,4,1,3
S56,2,4,2,1
S57,3,1,3,1
S58,3,1,3,1
S59,4,2,3,1
S60,4,4,3,3
S61,4,3,1,4
S62,3,3,1,4
S63,1,2,3,3
S64,4,4,4,3
S65,4,1,4,3
S66,3,2,4,2
S67,3,1,3,1
S68,2,2,4,2
S69,1,4,3,3
S70,3,3,2,4
S71,3,3,1,3
S72,1,2,3,3
S73,4,2,3,1
S74,3,4,4,3
S75,2,1,4,3
S76,2,4,3,2
S77,1,4,4,3
S78,4,2,4,1
S79,2,2,2,2
S80,3,3,2,2
S81,1,1,3,2
S82,1,4,4,1
S83,4,3,2,3
S84,3,1,3,1
S85,3,2,1,3
S86,3,2,3,2
S87,2,2,1,3
S88,3,4,1,3
S89,3,2,1,4
S90,4,4,2,2
S91,2,3,4,4
S92,2,1,4,2
S93,1,4,1,2
S94,2,4,4,4
S95,4,3,4,3
S96,3,4,3,3
S97,4,4,1,2
S98,4,3,1,3
S99,1,4,4,4
S100,3,1,2,2
S101,3,4,3,2
S102,2,1,3,3
S103,3,4,3,1
S104,1,1,3,3
S105,4,1,4,4
S106,3,3,3,2
S107,2,2,4,1
S108,3,2,3,2
S109,2,1,3,4
S110,4,3,3,1
S111,1,4,1,1
S112,2,1,1,2
S113,2,2,3,2
S114,2,4,2,2
S115,2,2,3,1
S116,3,4,1,1
S117,2,1,2,4
S118,3,3,3,3
S119,1,2,3,2
S120,1,4,2,2
S121,1,2,1,3
S122,3,4,4,3
S123,4,2,1,3
S124,3,4,3,1
S125,3,1,2,2
S126,2,1,4,2
S127,3,1,1,2
S128,3,1,4,4
S129,1,1,2,2
S130,3,4,3,4
S131,4,1,2,4
S132,3,3,3,3
S133,4,2,4,2
S134,3,2,1,1
S135,3,4,1,4
S136,1,4,4,2
S137,3,3,3,1
S138,4,1,1,1
S139,3,3,3,1
S140,1,2,1,1
S141,3,2,3,2
S142,1,4,4,4
S143,2,2,3,3
S144,1,2,3,2
S145,1,3,2,4
S146,4,2,2,1
S147,3,1,4,1
S148,3,3,3,3
S149,3,2,1,1
S150,1,2,1,1
S151,3,3,4,1
S152,4,4,1,4
S153,4,2,4,4
S154,4,1,1,1
S155,1,1,2,2
S156,1,1,1,2
S157,3,3,2,2
S158,3,3,1,1
S159,1,4,2,1
S160,3,2,1,2
S161,2,2,1,2
S162,4,2,1,1
S163,3,2,4,2
S164,2,4,1,2
S165,3,3,3,2
S166,4,4,1,4
S167,3,3,3,3
S168,3,4,2,2
S169,2,4,1,2
S170,4,3,1,3
S171,1,4,2,3
S172,1,1,3,1
S173,3,4,1,1
S174,1,2,2,3
S175,3,2,2,2
S176,4,1,3,4
S177,3,4,4,4
S178,4,1,4,4
S179,3,1,1,2
S180,1,4,3,3
S181,4,2,3,2
S182,4,3,2,1
S183,2,4,1,3
S184,3,1,2,1
S185,1,3,3,2
S186,4,3,1,3
S187,4,1,4,3
S188,1,4,4,2
S189,4,2,3,3
S190,1,4,3,4
S191,2,2,4,4
S192,4,3,4,2
S193,1,3,2,1
S194,3,2,3,4
S195,3,2,2,1
S196,3,1,3,4
S197,1,1,4,3
S198,3,1,2,3
S199,1,2,1,4
S200,2,4,2,3
S201,1,4,2,3
S202,3,4,4,1
S203,1,3,4,4
S204,4,1,4,2
S205,2,3,4,1
S206,1,3,1,2
S207,4,1,2,4
S208,4,2,2,4
S209,1,4,1,2
S210,1,2,4,1
S211,3,3,4,1
S212,4,3,1,4
S213,1,2,3,3
S214,4,3,2,4
S215,1,4,3,4
S216,2,1,3,1
S217,4,4,3,3
S218,1,1,1,4
S219,1,2,4,3
S220,1,1,2,2
S221,4,3,4,2
S222,1,2,2,2
S223,2,3,2,1
S224,2,2,2,4
S225,1,3,4,4
S226,1,1,1,2
S227,2,3,4,2
S228,2,4,4,4
S229,4,2,4,4
S230,4,3,4,3
S231,2,2,3,1
S232,4,2,1,4
S233,1,4,3,2
S234,1,3,2,2
S235,4,2,4,4
S236,1,3,3,4
S237,2,4,2,4
S238,4,4,2,1
S239,2,4,4,1
S240,1,2,2,4
S241,2,1,1,4
S242,3,2,4,3
S243,1,4,3,4
S244,2,1,1,1
S245,4,4,2,2
S246,2,1,2,2
S247,3,4,4,3
S248,2,4,3,4
S249,2,2,1,3
S250,3,2,3,1
S251,3,1,2,4
S252,4,3,1,3
S253,1,4,3,4
S254,4,2,3,1
S255,1,3,4,1
S256,2,1,3,1
S257,3,2,4,1
S258,1,1,1,4
S259,4,2,4,4
S260,3,4,4,1
S261,1,2,1,2
S262,2,1,3,1
S263,3,3,2,3
S264,1,2,3,3
S265,1,3,2,2
S266,2,3,3,1
S267,1,4,2,4
S268,4,3,4,4
S269,3,3,3,3
S270,2,4,2,1
S271,4,1,4,2
S272,1,2,2,2
S273,3,4,1,4
S274,2,1,3,3
S275,3,1,3,4
S276,3,4,1,2
S277,4,2,3,1
S278,1,1,2,2
S279,4,1,3,3
S280,2,4,3,1
S281,1,4,2,3
S282,1,3,1,4
S283,4,1,2,2
S284,2,2,1,3
S285,2,2,3,3
S286,1,3,4,3
S287,1,2,2,3
S288,1,3,4,3
S289,1,4,3,4
S290,1,1,4,1
S291,3,1,1,3
S292,1,4,3,4
S293,4,1,3,1
S294,4,4,3,1
S295,3,4,3,1
S296,1,1,3,2
S297,1,3,1,2
S298,3,2,4,4
S299,4,3,3,1
S300,1,2,1,1
S301,4,2,3,4
S302,4,1,2,1
S303,3,4,2,1
S304,3,3,2,1
S305,2,2,3,1
S306,3,2,4,3
S307,1,3,4,2
S308,2,3,1,3
S309,1,1,4,3
S310,4,1,2,1
S311,2,2,4,2
S312,1,4,4,4
S313,3,3,2,3
S314,2,2,2,2
S315,4,1,4,4
S316,4,1,3,2
S317,2,3,4,1
S318,1,2,1,2
S319,3,4,4,2
S320,3,2,3,3
S321,3,1,2,1
S322,4,1,2,4
S323,1,1,1,1
S324,4,1,1,4
S325,1,2,3,3
S326,4,1,1,3
S327,1,3,2,2
S328,2,4,1,1
S329,2,1,3,4
S330,1,4,2,2
S331,3,1,4,1
S332,4,2,1,1
S333,3,2,1,4
S334,2,1,1,3
S335,1,4,2,1
S336,2,1,4,2
S337,3,4,4,3
S338,3,1,4,1
S339,2,1,1,2
S340,1,1,3,1
S341,3,1,3,4
S342,1,2,3,2
S343,2,4,4,3
S344,3,1,3,3
S345,2,1,2,2
S346,2,4,4,4
S347,1,4,4,2
S348,1,4,2,1
S349,2,2,1,2
S350,3,1,4,2
S351,3,2,4,2
S352,4,4,4,1
S353,4,4,3,1
S354,2,3,1,3
S355,3,2,2,2
S356,2,2,3,4
S357,1,2,3,3
S358,4,4,1,2
S359,2,4,3,3
S360,4,2,4,3
S361,2,3,4,3
S362,4,3,2,4
S363,4,1,1,4
S364,2,4,2,4
S365,4,4,4,3
S366,1,3,2,4
S367,4,2,3,1
S368,3,1,1,3
S369,2,1,1,4
S370,2,4,3,1
S371,3,4,4,2
S372,4,4,4,2
S373,4,2,1,1
S374,3,2,2,1
S375,3,2,4,4
S376,2,3,1,4
S377,1,2,1,1
S378,1,2,4,4
S379,3,4,2,3
S380,1,3,2,4
S381,3,2,4,4
S382,4,4,2,1
S383,2,3,2,2
S384,3,1,1,2
S385,3,1,1,2
S386,2,4,3,3
S387,3,4,4,3
S388,3,1,4,1
S389,4,3,4,2
S390,4,4,1,3
S391,4,1,1,2
S392,3,1,1,2
S393,4,2,1,4
S394,2,4,4,2
S395,4,2,3,1
S396,4,3,2,3
S397,2,2,4,3
S398,4,3,1,3
S399,4,4,4,4
S400,2,4,4,2
S401,3,1,2,3
S402,3,4,3,1
S403,2,4,2,1
S404,3,3,4,3
S405,3,1,2,2
S406,1,4,3,2
S407,3,4,3,4
S408,2,2,4,2
S409,4,3,1,4
S410,4,2,2,3
S411,1,3,1,4
S412,4,1,1,3
S413,3,4,1,3
S414,2,1,2,1
S415,2,4,4,2
S416,1,3,3,1
S417,3,4,1,1
S418,2,4,4,2
S419,2,2,3,3
S420,1,3,4,1
S421,4,2,1,4
S422,1,2,4,1
S423,1,1,2,2
S424,1,3,1,4
S425,2,4,2,3
S426,1,1,1,2
S427,1,1,2,4
S428,2,1,3,2
S429,1,3,3,2
S430,4,1,3,1
S431,4,4,2,2
S432,3,4,3,2
S433,3,2,3,3
S434,4,4,1,1
S435,1,4,4,2
S436,4,2,4,2
S437,3,2,2,3
S438,3,3,4,3
S439,2,4,3,4
S440,4,3,4,4
S441,2,1,3,1
S442,1,4,1,4
S443,3,3,3,3
S444,2,1,1,4
S445,4,1,3,3
S446,2,2,1,4
S447,3,2,3,2
